Maker,Model,Number of Cylinders,Engine Type,Engine Horse Power,Engine Horse Power RPM,Transmission,Mixed Fuel Consumption per Km,Fuel Tank Capacity,Acceleration 0 to 100 Km,Max Speed Km per Hour,Fuel Grade (in Octane),Year,Type of Car
Audi,A3,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,7-speed dual clutch,6.2 L/100 km,50 L,6.2 s,250,95.0,2021,Hatchback
Audi,A3 Hybrid,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,8-speed dual clutch,1.9 L/100 km,36 L,6.7 s,235,95.0,2021,Hatchback
Audi,A4,4.0,Turbocharged Gasoline Direct Injection,258,5000.0,8-speed automatic,6.4 L/100 km,59 L,5.8 s,250,95.0,2021,Sedan
Audi,A4 Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.7 L/100 km,40 L,5.9 s,230,95.0,2021,Sedan
Audi,A5,4.0,Turbocharged Gasoline Direct Injection,374,5500.0,8-speed automatic,7.8 L/100 km,59 L,4.1 s,250,95.0,2021,Coupe
Audi,A5 Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.8 L/100 km,40 L,5.1 s,250,95.0,2021,Coupe
Audi,A6,6.0,Turbocharged Gasoline Direct Injection,333,5500.0,8-speed automatic,8.3 L/100 km,68 L,5.1 s,250,95.0,2021,Sedan
Audi,A6 Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.8 L/100 km,40 L,5.2 s,250,95.0,2021,Sedan
Audi,A7,6.0,Turbocharged Gasoline Direct Injection,340,5500.0,8-speed automatic,8.8 L/100 km,68 L,5.3 s,250,95.0,2021,Sedan
Audi,A7 Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,2.1 L/100 km,40 L,5.4 s,250,95.0,2021,Sedan
Audi,A8,8.0,Turbocharged Gasoline Direct Injection,530,5500.0,8-speed automatic,11.3 L/100 km,78 L,4.2 s,250,98.0,2021,Sedan
Audi,A8 Hybrid,6.0,Turbocharged Gasoline Direct Injection,394,5500.0,8-speed automatic,2.6 L/100 km,46 L,5 s,250,95.0,2021,Sedan
Audi,e-tron GT,,Battery Electric,476,,2-speed direct drive,,85 kWh,4.1 s,245,,2021,Sedan
Audi,Q4 e-tron,,Battery Electric,204,,1-speed direct drive,,77 kWh,8.5 s,160,,2021,SUV
Audi,R8,10.0,Gasoline Direct Injection,620,8000.0,7-speed dual clutch,13.3 L/100 km,73 L,3.2 s,331,98.0,2021,Coupe
BMW,1 Series,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,8-speed automatic,6.3 L/100 km,50 L,6.1 s,250,95.0,2021,Hatchback
BMW,1 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,8-speed automatic,1.9 L/100 km,36 L,6.7 s,235,95.0,2021,Hatchback
BMW,2 Series,4.0,Turbocharged Gasoline Direct Injection,306,5000.0,8-speed automatic,7.1 L/100 km,50 L,4.4 s,250,95.0,2021,Coupe
BMW,2 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.8 L/100 km,36 L,4.8 s,250,95.0,2021,Coupe
BMW,3 Series,4.0,Turbocharged Gasoline Direct Injection,258,5000.0,8-speed automatic,6.4 L/100 km,59 L,5.8 s,250,95.0,2021,Sedan
BMW,3 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.7 L/100 km,40 L,5.9 s,230,95.0,2021,Sedan
BMW,4 Series,4.0,Turbocharged Gasoline Direct Injection,374,5500.0,8-speed automatic,7.8 L/100 km,59 L,4.1 s,250,95.0,2021,Coupe
BMW,4 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.8 L/100 km,40 L,5.1 s,250,95.0,2021,Coupe
BMW,5 Series,6.0,Turbocharged Gasoline Direct Injection,333,5500.0,8-speed automatic,8.3 L/100 km,68 L,5.1 s,250,95.0,2021,Sedan
BMW,5 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.8 L/100 km,40 L,5.2 s,250,95.0,2021,Sedan
BMW,6 Series,6.0,Turbocharged Gasoline Direct Injection,340,5500.0,8-speed automatic,8.8 L/100 km,68 L,5.3 s,250,95.0,2021,Sedan
BMW,6 Series Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,2.1 L/100 km,40 L,5.4 s,250,95.0,2021,Sedan
BMW,7 Series,8.0,Turbocharged Gasoline Direct Injection,530,5500.0,8-speed automatic,11.3 L/100 km,78 L,4.2 s,250,98.0,2021,Sedan
BMW,7 Series Hybrid,6.0,Turbocharged Gasoline Direct Injection,394,5500.0,8-speed automatic,2.6 L/100 km,46 L,5 s,250,95.0,2021,Sedan
BMW,8 Series,8.0,Turbocharged Gasoline Direct Injection,530,5500.0,8-speed automatic,10.7 L/100 km,68 L,3.8 s,250,98.0,2021,Coupe
BMW,8 Series Hybrid,6.0,Turbocharged Gasoline Direct Injection,394,5500.0,8-speed automatic,2.3 L/100 km,46 L,4.4 s,250,95.0,2021,Coupe
BMW,i3,,Battery Electric,184,,1-speed direct drive,,42.2 kWh,6.9 s,160,,2021,Hatchback
BMW,i4,,Battery Electric,544,,1-speed direct drive,,80.7 kWh,4 s,200,,2021,Sedan
BMW,i5,,Battery Electric,544,,1-speed direct drive,,80.7 kWh,4 s,200,,2021,Sedan
BMW,i7,,Battery Electric,544,,1-speed direct drive,,80.7 kWh,4 s,200,,2021,Sedan
BMW,iX,,Battery Electric,523,,1-speed direct drive,,100 kWh,4.6 s,200,,2021,SUV
BMW,X1,4.0,Turbocharged Gasoline Direct Injection,231,5000.0,8-speed automatic,6.8 L/100 km,61 L,6.5 s,235,95.0,2021,SUV
BMW,X1 Hybrid,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,6-speed automatic,2.1 L/100 km,36 L,6.9 s,193,95.0,2021,SUV
BMW,X2,4.0,Turbocharged Gasoline Direct Injection,306,5000.0,8-speed automatic,7.1 L/100 km,61 L,4.9 s,250,95.0,2021,SUV
BMW,X2 Hybrid,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,6-speed automatic,2.1 L/100 km,36 L,6.8 s,195,95.0,2021,SUV
BMW,X3,4.0,Turbocharged Gasoline Direct Injection,360,6250.0,8-speed automatic,9.1 L/100 km,65 L,4.8 s,250,95.0,2021,SUV
BMW,X3 Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,2.4 L/100 km,34 L,5.6 s,210,95.0,2021,SUV
BMW,X3 Electric,,Battery Electric,286,,1-speed direct drive,,80 kWh,6.8 s,180,,2021,SUV
Chery,Tiggo 4 Pro,4,Turbocharged Gasoline Direct Injection,156,5500,7-speed dual clutch,6.8 L/100 km,50 L,9.8 s,190,95,2021,SUV
Chery,Tiggo 7 Pro,4,Turbocharged Gasoline Direct Injection,197,5500,9-speed automatic,7.6 L/100 km,57 L,8.8 s,200,95,2021,SUV
Chery,Tiggo 8 Pro,4,Turbocharged Gasoline Direct Injection,197,5500,9-speed automatic,7.9 L/100 km,57 L,9.9 s,200,95,2021,SUV
